PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
766581,0,3,"Name766581, Mr. Surname766581",male,42.0,0,0,65306,6.989736008523587,,Q
395913,0,2,"Name395913, Mr. Surname395913",male,,0,0,S.O.C. 14879,11.622430171922264,,C
35602,0,3,"Name35602, Mr. Surname35602",male,26.0,0,0,29750,10.581941482329391,,S
258579,0,2,"Name258579, Mr. Surname258579",male,39.0,0,0,PP 4348,24.874060501469987,,S
478762,0,2,"Name478762, Mr. Surname478762",male,39.0,1,0,P/PP 3381,33.10566198455248,E58,C
23093,1,1,"Name23093, Miss. Surname23093",female,43.0,0,0,2685,173.98988165261974,,C
789315,0,1,"Name789315, Mr. Surname789315",male,44.0,0,0,237798,0.0,,C
527781,1,1,"Name527781, Miss. Surname527781",female,32.0,0,0,C.A. 18723,22.611272077085637,,S
806061,0,3,"Name806061, Mr. Surname806061",male,44.0,1,1,STON/O 2. 3101269,28.46539240642716,,Q
20181,0,3,"Name20181, Mr. Surname20181",male,30.0,0,0,2665,7.656612087574292,,S
406722,1,3,"Name406722, Miss. Surname406722",female,25.0,1,1,363592,19.011099871553167,,C
470754,1,1,"Name470754, Miss. Surname470754",female,,0,0,370376,107.87525633294324,,S
84804,0,1,"Name84804, Mr. Surname84804",male,28.0,0,0,113776,0.0,,S
671183,0,3,"Name671183, Mr. Surname671183",male,26.0,1,0,SC/AH 29037,29.676292747968112,D30,S
31570,0,3,"Name31570, Mr. Surname31570",male,20.0,1,0,231919,13.160145630958448,B58 B60,C
202667,0,3,"Name202667, Miss. Surname202667",female,14.0,2,2,A/4. 39886,35.380200489784315,,S
281070,1,1,"Name281070, Mr. Surname281070",male,12.0,0,0,234686,35.696964353011964,,S
736448,0,3,"Name736448, Mr. Surname736448",male,25.0,0,0,2908,4.145142097805316,,S
320941,0,2,"Name320941, Mr. Surname320941",male,41.0,1,0,248698,27.522507634565173,,S
273550,0,2,"Name273550, Mr. Surname273550",male,45.0,0,0,347071,0.0,,S
959740,1,3,"Name959740, Mrs. Surname959740",female,,0,0,65304,10.304888765181785,,Q
327854,0,3,"Name327854, Mrs. Surname327854",female,41.0,0,0,250655,9.57608295607609,,Q
953778,0,3,"Name953778, Mr. Surname953778",male,26.0,0,0,370365,21.28768755281484,,S
15819,1,3,"Name15819, Miss. Surname15819",female,28.0,0,2,W./C. 6607,23.59613066225252,,C
837225,1,1,"Name837225, Miss. Surname837225",female,19.0,0,1,28206,80.9062952607644,,C
20655,0,3,"Name20655, Mr. Surname20655",male,23.0,0,0,363291,5.583467906953149,,S
822162,1,1,"Name822162, Miss. Surname822162",female,44.0,1,0,PC 17477,100.4355055486592,,C
